,event_date,year,time_precision,event_type,inter1,interaction,latitude,longitude,geo_precision,fatalities,timestamp,timestampcon,newtimestamp
28,24 December 2015,2015,1,Riots/Protests,6,60,12.0001,8.5167,1,0,1524053911,2015-12-24,1450915200.0
29,23 December 2015,2015,1,Riots/Protests,6,60,4.9247,6.2642,1,0,1524053911,2015-12-23,1450828800.0
30,23 December 2015,2015,1,Riots/Protests,6,60,7.2526,5.1931,1,0,1524053911,2015-12-23,1450828800.0
31,23 December 2015,2015,1,Riots/Protests,6,60,6.4339,3.3564,1,0,1524053911,2015-12-23,1450828800.0
32,22 December 2015,2015,1,Strategic development,3,37,5.5167,5.75,1,0,1520877058,2015-12-22,1450742400.0
34,22 December 2015,2015,1,Battle-No change of territory,1,13,4.8393,7.0412,2,1,1524053911,2015-12-22,1450742400.0
36,22 December 2015,2015,1,Battle-No change of territory,1,14,4.7774,7.0134,1,3,1524053911,2015-12-22,1450742400.0
38,21 December 2015,2015,1,Battle-No change of territory,4,44,8.8167,4.9833,1,0,1518765568,2015-12-21,1450656000.0
40,21 December 2015,2015,1,Battle-No change of territory,4,44,8.8302,4.9829,1,0,1518765568,2015-12-21,1450656000.0
42,21 December 2015,2015,1,Riots/Protests,6,60,12.0001,8.5167,1,0,1524053911,2015-12-21,1450656000.0
43,21 December 2015,2015,1,Riots/Protests,6,60,6.3163,8.1169,1,0,1518765568,2015-12-21,1450656000.0
44,20 December 2015,2015,1,Battle-No change of territory,4,44,8.8302,4.9829,1,2,1518765568,2015-12-20,1450569600.0
46,20 December 2015,2015,1,Battle-No change of territory,4,44,8.8167,4.9833,1,2,1518765568,2015-12-20,1450569600.0
48,20 December 2015,2015,1,Violence against civilians,3,37,4.7741,6.3269,2,0,1524053911,2015-12-20,1450569600.0
50,20 December 2015,2015,1,Battle-No change of territory,1,12,12.1,13.7,2,9,1524053911,2015-12-20,1450569600.0
52,20 December 2015,2015,1,Battle-No change of territory,1,12,11.155999999999999,12.7576,1,3,1524053911,2015-12-20,1450569600.0
54,20 December 2015,2015,1,Violence against civilians,2,27,11.8072,12.4909,1,9,1524053911,2015-12-20,1450569600.0
56,20 December 2015,2015,1,Violence against civilians,4,47,7.8667,10.9667,2,6,1518765568,2015-12-20,1450569600.0
58,19 December 2015,2015,2,Riots/Protests,6,60,9.0,4.5,1,0,1518765568,2015-12-19,1450483200.0
59,19 December 2015,2015,2,Riots/Protests,6,60,6.6799,3.2077,1,0,1524053911,2015-12-19,1450483200.0
60,18 December 2015,2015,1,Riots/Protests,5,50,6.2006,6.7339,1,0,1524053911,2015-12-18,1450396800.0
61,17 December 2015,2015,1,Riots/Protests,5,15,6.1454,6.7885,1,5,1524053912,2015-12-17,1450310400.0
63,16 December 2015,2015,1,Riots/Protests,6,60,6.4538,3.2059,1,0,1524053912,2015-12-16,1450224000.0
64,16 December 2015,2015,1,Riots/Protests,6,60,6.4531,3.3958,1,0,1518765568,2015-12-16,1450224000.0
65,16 December 2015,2015,1,Battle-No change of territory,4,24,12.1,13.7,1,5,1524053912,2015-12-16,1450224000.0
67,16 December 2015,2015,1,Riots/Protests,5,50,8.5,4.55,1,0,1518765568,2015-12-16,1450224000.0
68,16 December 2015,2015,2,Battle-No change of territory,1,12,10.8583,12.2005,1,15,1524053912,2015-12-16,1450224000.0
70,15 December 2015,2015,1,Riots/Protests,6,60,10.3134,9.8433,1,0,1518765568,2015-12-15,1450137600.0
71,15 December 2015,2015,1,Riots/Protests,6,60,10.2897,11.1673,1,0,1518765568,2015-12-15,1450137600.0
72,15 December 2015,2015,1,Riots/Protests,5,15,10.5122,7.4124,1,3,1524053912,2015-12-15,1450137600.0
74,15 December 2015,2015,1,Riots/Protests,6,60,12.0001,8.5167,1,0,1518765568,2015-12-15,1450137600.0
75,15 December 2015,2015,1,Battle-No change of territory,1,12,11.8464,13.1603,2,1,1524053912,2015-12-15,1450137600.0
77,15 December 2015,2015,1,Riots/Protests,6,60,8.5,4.55,1,0,1518765568,2015-12-15,1450137600.0
78,15 December 2015,2015,1,Riots/Protests,6,60,12.1628,6.6614,1,0,1518765568,2015-12-15,1450137600.0
79,15 December 2015,2015,3,Violence against civilians,1,17,11.5221,13.6856,1,0,1527542653,2015-12-15,1450137600.0
81,14 December 2015,2015,1,Riots/Protests,6,60,12.0001,8.5167,1,0,1518765568,2015-12-14,1450051200.0
82,14 December 2015,2015,1,Riots/Protests,6,60,7.621,5.2215,1,0,1524053912,2015-12-14,1450051200.0
83,13 December 2015,2015,1,Riots/Protests,6,60,11.0154,6.7804,1,0,1524053912,2015-12-13,1449964800.0
84,13 December 2015,2015,1,Riots/Protests,6,60,12.0001,8.5167,1,0,1518765568,2015-12-13,1449964800.0
85,13 December 2015,2015,1,Violence against civilians,4,47,9.75,8.8667,1,14,1518765568,2015-12-13,1449964800.0
87,13 December 2015,2015,1,Riots/Protests,5,15,11.1132,7.7252,1,100,1524053912,2015-12-13,1449964800.0
89,13 December 2015,2015,1,Riots/Protests,6,60,11.7091,11.0694,1,0,1518765568,2015-12-13,1449964800.0
90,13 December 2015,2015,1,Riots/Protests,6,60,5.4833,7.0304,1,0,1518765568,2015-12-13,1449964800.0
91,13 December 2015,2015,1,Riots/Protests,6,60,12.9894,7.6006,1,0,1518765568,2015-12-13,1449964800.0
92,13 December 2015,2015,1,Riots/Protests,6,60,10.3134,9.8433,1,0,1524053912,2015-12-13,1449964800.0
93,12 December 2015,2015,1,Violence against civilians,2,27,10.9869,12.1535,1,4,1524053912,2015-12-12,1449878400.0
95,12 December 2015,2015,2,Violence against civilians,3,37,4.7774,7.0134,1,2,1518765568,2015-12-12,1449878400.0
97,12 December 2015,2015,1,Violence against civilians,1,17,11.1132,7.7252,1,100,1524053912,2015-12-12,1449878400.0
99,12 December 2015,2015,1,Riots/Protests,5,15,11.1132,7.7252,1,100,1524053912,2015-12-12,1449878400.0
101,12 December 2015,2015,1,Battle-No change of territory,1,14,11.1132,7.7252,1,0,1524053912,2015-12-12,1449878400.0
103,12 December 2015,2015,1,Violence against civilians,3,37,6.1091,6.8197,1,1,1524053912,2015-12-12,1449878400.0
105,12 December 2015,2015,1,Violence against civilians,2,27,10.1387,11.9206,1,6,1524053912,2015-12-12,1449878400.0
107,12 December 2015,2015,1,Violence against civilians,2,27,10.6129,12.1946,2,20,1524053912,2015-12-12,1449878400.0
109,11 December 2015,2015,1,Riots/Protests,5,50,9.2783,6.9934,2,0,1518765568,2015-12-11,1449792000.0
110,11 December 2015,2015,1,Non-violent transfer of territory,1,12,11.5221,13.6856,2,0,1524053912,2015-12-11,1449792000.0
112,10 December 2015,2015,1,Riots/Protests,5,55,7.8024,6.742999999999999,1,0,1518765568,2015-12-10,1449705600.0
114,10 December 2015,2015,1,Riots/Protests,5,50,6.5942,3.3375,1,0,1518765568,2015-12-10,1449705600.0
115,10 December 2015,2015,1,Battle-No change of territory,1,12,10.9048,12.0886,1,14,1524053912,2015-12-10,1449705600.0
117,09 December 2015,2015,1,Riots/Protests,5,15,9.5116,6.5988,1,0,1524053912,2015-12-09,1449619200.0
119,09 December 2015,2015,1,Riots/Protests,5,50,4.9247,6.2642,1,0,1518765568,2015-12-09,1449619200.0
120,09 December 2015,2015,1,Riots/Protests,6,60,6.4281,3.4219999999999997,1,0,1524053912,2015-12-09,1449619200.0
121,09 December 2015,2015,1,Battle-No change of territory,1,12,12.897,11.9304,2,5,1524053912,2015-12-09,1449619200.0
123,09 December 2015,2015,1,Battle-No change of territory,1,12,11.2689,11.9994,1,0,1524053912,2015-12-09,1449619200.0
125,08 December 2015,2015,1,Battle-No change of territory,1,12,11.25,13.4167,1,10,1524053912,2015-12-08,1449532800.0
127,08 December 2015,2015,1,Violence against civilians,3,37,13.059000000000001,6.6645,1,20,1518765568,2015-12-08,1449532800.0
129,08 December 2015,2015,1,Battle-No change of territory,1,12,11.1767,13.8256,1,100,1524053912,2015-12-08,1449532800.0
131,08 December 2015,2015,1,Riots/Protests,5,50,9.5116,6.5988,1,0,1518765568,2015-12-08,1449532800.0
132,08 December 2015,2015,1,Riots/Protests,5,50,8.5,4.55,1,0,1518765568,2015-12-08,1449532800.0
133,08 December 2015,2015,1,Riots/Protests,6,60,9.0833,7.5333,1,0,1518765568,2015-12-08,1449532800.0
134,07 December 2015,2015,1,Riots/Protests,5,50,9.5116,6.5988,1,0,1518765568,2015-12-07,1449446400.0
135,07 December 2015,2015,1,Riots/Protests,6,60,5.5167,5.75,1,0,1518765568,2015-12-07,1449446400.0
136,06 December 2015,2015,1,Riots/Protests,6,60,4.8047,6.0789,2,0,1518765568,2015-12-06,1449360000.0
137,06 December 2015,2015,1,Violence against civilians,2,27,10.7944,12.7504,1,0,1524053912,2015-12-06,1449360000.0
139,06 December 2015,2015,1,Battle-No change of territory,4,44,6.8454,8.4174,2,6,1518765568,2015-12-06,1449360000.0
141,06 December 2015,2015,1,Riots/Protests,6,60,6.1692,8.0312,1,0,1524053912,2015-12-06,1449360000.0
142,05 December 2015,2015,1,Violence against civilians,3,37,4.8047,6.0789,1,1,1518765568,2015-12-05,1449273600.0
144,05 December 2015,2015,1,Riots/Protests,5,55,4.8047,6.0789,1,1,1518765568,2015-12-05,1449273600.0
146,05 December 2015,2015,1,Violence against civilians,4,47,5.8288,6.3929,1,0,1518765568,2015-12-05,1449273600.0
148,05 December 2015,2015,1,Riots/Protests,5,55,4.5394,6.4003,1,0,1518765568,2015-12-05,1449273600.0
150,05 December 2015,2015,1,Riots/Protests,5,50,7.8024,6.742999999999999,1,0,1518765568,2015-12-05,1449273600.0
151,05 December 2015,2015,1,Riots/Protests,5,55,4.3151,6.2418,1,0,1518765568,2015-12-05,1449273600.0
153,04 December 2015,2015,1,Strategic development,1,12,11.8464,13.1603,3,0,1524053912,2015-12-04,1449187200.0
155,04 December 2015,2015,2,Violence against civilians,3,37,12.1138,5.9243,2,4,1524053912,2015-12-04,1449187200.0
157,04 December 2015,2015,1,Riots/Protests,6,16,6.3163,8.1169,1,0,1524053912,2015-12-04,1449187200.0
159,03 December 2015,2015,1,Riots/Protests,6,60,4.7774,7.0134,1,0,1518765568,2015-12-03,1449100800.0
160,03 December 2015,2015,1,Violence against civilians,2,27,10.5726,12.1583,1,4,1524053912,2015-12-03,1449100800.0
162,03 December 2015,2015,1,Violence against civilians,2,27,10.8167,12.4167,1,3,1524053912,2015-12-03,1449100800.0
164,03 December 2015,2015,1,Riots/Protests,6,60,7.8024,6.742999999999999,1,0,1518765568,2015-12-03,1449100800.0
165,03 December 2015,2015,1,Riots/Protests,6,60,6.4426,7.5022,1,0,1518765568,2015-12-03,1449100800.0
166,03 December 2015,2015,1,Riots/Protests,6,60,5.5464,6.5281,1,0,1524053912,2015-12-03,1449100800.0
167,02 December 2015,2015,1,Riots/Protests,5,15,6.1454,6.7885,1,7,1524053912,2015-12-02,1449014400.0
169,02 December 2015,2015,1,Violence against civilians,3,37,5.1738,6.2998,1,1,1518765568,2015-12-02,1449014400.0
171,02 December 2015,2015,1,Riots/Protests,6,60,6.4967,3.1208,1,0,1518765568,2015-12-02,1449014400.0
172,02 December 2015,2015,1,Riots/Protests,6,60,5.5546,5.7862,1,0,1518765568,2015-12-02,1449014400.0
173,01 December 2015,2015,1,Riots/Protests,6,60,5.4833,7.0304,1,0,1523534006,2015-12-01,1448928000.0
174,01 December 2015,2015,1,Riots/Protests,5,50,6.4281,3.4219999999999997,1,0,1524053912,2015-12-01,1448928000.0
175,01 December 2015,2015,1,Violence against civilians,4,47,9.8667,11.1667,1,1,1524053912,2015-12-01,1448928000.0
177,01 December 2015,2015,1,Battle-No change of territory,4,44,5.5493,6.3427,1,1,1523534006,2015-12-01,1448928000.0
179,01 December 2015,2015,1,Riots/Protests,6,60,11.8464,13.1603,1,0,1523534006,2015-12-01,1448928000.0
180,01 December 2015,2015,1,Riots/Protests,6,60,10.5222,7.4383,1,0,1523534006,2015-12-01,1448928000.0
181,01 December 2015,2015,1,Riots/Protests,5,50,7.4667,4.5667,1,0,1524053912,2015-12-01,1448928000.0
182,01 December 2015,2015,1,Violence against civilians,3,37,12.1138,5.9243,2,4,1518765568,2015-12-01,1448928000.0
184,01 December 2015,2015,1,Violence against civilians,2,27,13.6169,13.2644,2,6,1524053912,2015-12-01,1448928000.0
186,30 November 2015,2015,1,Riots/Protests,5,50,6.9306,3.2209,1,0,1524053912,2015-11-30,1448841600.0
187,30 November 2015,2015,1,Riots/Protests,6,60,11.1132,7.7252,1,0,1524053912,2015-11-30,1448841600.0
188,30 November 2015,2015,1,Riots/Protests,6,60,6.0199,6.9148,1,0,1524053912,2015-11-30,1448841600.0
189,30 November 2015,2015,1,Riots/Protests,6,60,12.0001,8.5167,1,0,1524053912,2015-11-30,1448841600.0
190,30 November 2015,2015,1,Riots/Protests,5,50,7.4667,4.5667,1,0,1524053912,2015-11-30,1448841600.0
191,30 November 2015,2015,1,Riots/Protests,5,15,9.0833,7.5333,1,0,1524053912,2015-11-30,1448841600.0
193,29 November 2015,2015,1,Violence against civilians,2,27,12.1131,12.8274,2,4,1524053912,2015-11-29,1448755200.0
195,29 November 2015,2015,1,Violence against civilians,2,27,10.9705,12.0347,1,4,1524053912,2015-11-29,1448755200.0
197,29 November 2015,2015,1,Battle-No change of territory,1,12,10.7994,13.4622,1,21,1524053912,2015-11-29,1448755200.0
199,29 November 2015,2015,1,Riots/Protests,6,60,9.0833,7.5333,1,0,1518765568,2015-11-29,1448755200.0
200,28 November 2015,2015,1,Riots/Protests,5,50,7.6897,7.0438,2,0,1518765568,2015-11-28,1448668800.0
201,27 November 2015,2015,1,Violence against civilians,2,27,11.6838,8.3705,2,22,1524053912,2015-11-27,1448582400.0
203,26 November 2015,2015,1,Riots/Protests,6,60,7.3939,3.7536,1,0,1518765568,2015-11-26,1448496000.0
204,26 November 2015,2015,1,Riots/Protests,6,60,7.5,3.65,1,0,1518765568,2015-11-26,1448496000.0
205,26 November 2015,2015,1,Riots/Protests,6,60,5.4833,7.0304,1,0,1518765568,2015-11-26,1448496000.0
206,26 November 2015,2015,1,Riots/Protests,6,60,7.6242,3.8314,1,0,1518765568,2015-11-26,1448496000.0
207,26 November 2015,2015,1,Riots/Protests,6,60,6.5942,3.3375,1,0,1518765568,2015-11-26,1448496000.0
208,26 November 2015,2015,1,Riots/Protests,6,60,7.4717,3.7617,2,0,1518765568,2015-11-26,1448496000.0
209,25 November 2015,2015,2,Riots/Protests,6,60,5.4333,5.8667,2,0,1524053912,2015-11-25,1448409600.0
210,25 November 2015,2015,1,Riots/Protests,6,60,6.4827,3.3899,1,0,1524053912,2015-11-25,1448409600.0
211,25 November 2015,2015,1,Riots/Protests,6,60,9.0833,7.5333,1,0,1524053912,2015-11-25,1448409600.0
212,24 November 2015,2015,1,Riots/Protests,6,60,7.8024,6.742999999999999,1,0,1524053912,2015-11-24,1448323200.0
213,24 November 2015,2015,1,Remote violence,3,37,11.5233,7.3081,2,0,1518765568,2015-11-24,1448323200.0
215,24 November 2015,2015,1,Riots/Protests,6,60,7.3878,3.8964,1,0,1523534006,2015-11-24,1448323200.0
216,24 November 2015,2015,1,Riots/Protests,6,60,9.0833,7.5333,1,0,1524053912,2015-11-24,1448323200.0
217,23 November 2015,2015,1,Riots/Protests,6,60,6.335,5.6275,1,0,1524053913,2015-11-23,1448236800.0
218,22 November 2015,2015,1,Riots/Protests,6,60,6.1454,6.7885,1,0,1524053913,2015-11-22,1448150400.0
219,22 November 2015,2015,1,Violence against civilians,2,27,11.8464,13.1603,1,8,1524053913,2015-11-22,1448150400.0
221,21 November 2015,2015,1,Violence against civilians,5,57,7.6897,7.0438,2,0,1518765568,2015-11-21,1448064000.0
223,20 November 2015,2015,1,Riots/Protests,6,60,4.9247,6.2642,1,0,1518765568,2015-11-20,1447977600.0
224,20 November 2015,2015,1,Riots/Protests,6,60,5.8941,5.6767,1,0,1518765568,2015-11-20,1447977600.0
225,20 November 2015,2015,1,Riots/Protests,6,60,7.7667,4.5667,1,0,1518765568,2015-11-20,1447977600.0
226,20 November 2015,2015,2,Non-violent transfer of territory,1,18,9.2167,3.1833,1,0,1524053913,2015-11-20,1447977600.0
228,20 November 2015,2015,1,Violence against civilians,2,27,11.2834,11.308,2,7,1524053913,2015-11-20,1447977600.0
230,20 November 2015,2015,2,Non-violent transfer of territory,1,18,8.8333,2.9,1,0,1524053913,2015-11-20,1447977600.0
232,20 November 2015,2015,1,Riots/Protests,6,60,9.0833,7.5333,1,0,1518765568,2015-11-20,1447977600.0
233,19 November 2015,2015,2,Remote violence,1,12,12.373,14.2069,1,0,1524053913,2015-11-19,1447891200.0
235,19 November 2015,2015,2,Remote violence,1,12,11.9887,14.3815,1,0,1524053913,2015-11-19,1447891200.0
237,19 November 2015,2015,2,Remote violence,1,12,11.3548,14.213,1,0,1524053913,2015-11-19,1447891200.0
239,19 November 2015,2015,2,Remote violence,1,12,12.8847,12.5081,1,0,1524053913,2015-11-19,1447891200.0
241,19 November 2015,2015,2,Riots/Protests,6,60,6.4167,2.8667,1,0,1524053913,2015-11-19,1447891200.0
242,19 November 2015,2015,2,Remote violence,1,12,11.6621,14.0201,1,0,1524053913,2015-11-19,1447891200.0
244,18 November 2015,2015,1,Violence against civilians,3,37,10.6462,7.3451,1,1,1524053913,2015-11-18,1447804800.0
246,18 November 2015,2015,1,Violence against civilians,4,47,6.4531,3.3958,1,1,1518765568,2015-11-18,1447804800.0
248,18 November 2015,2015,1,Riots/Protests,6,60,7.7667,4.5667,1,0,1518765568,2015-11-18,1447804800.0
249,18 November 2015,2015,1,Battle-No change of territory,1,12,12.944,13.184000000000001,1,0,1524053913,2015-11-18,1447804800.0
251,18 November 2015,2015,1,Violence against civilians,4,47,12.1343,10.5396,2,1,1524053913,2015-11-18,1447804800.0
253,18 November 2015,2015,1,Riots/Protests,5,55,5.0556,5.7801,1,1,1518765568,2015-11-18,1447804800.0
255,18 November 2015,2015,1,Battle-Government regains territory,1,12,11.155999999999999,12.7576,2,40,1524053913,2015-11-18,1447804800.0
257,18 November 2015,2015,1,Battle-No change of territory,4,44,6.9675,6.0432,2,1,1518765568,2015-11-18,1447804800.0
259,18 November 2015,2015,1,Riots/Protests,6,60,5.1066,7.3667,1,0,1518765568,2015-11-18,1447804800.0
260,18 November 2015,2015,1,Violence against civilians,2,27,11.9553,8.5723,2,19,1524053913,2015-11-18,1447804800.0
262,17 November 2015,2015,1,Riots/Protests,6,60,9.0833,7.5333,1,0,1518765568,2015-11-17,1447718400.0
263,17 November 2015,2015,1,Riots/Protests,6,60,5.4833,7.0304,1,0,1518765568,2015-11-17,1447718400.0
264,17 November 2015,2015,1,Violence against civilians,2,27,9.2,12.4833,1,34,1524053913,2015-11-17,1447718400.0
266,17 November 2015,2015,1,Riots/Protests,6,60,6.335,5.6275,1,0,1518765568,2015-11-17,1447718400.0
267,17 November 2015,2015,1,Riots/Protests,6,60,5.2182,7.8817,1,0,1518765568,2015-11-17,1447718400.0
268,17 November 2015,2015,1,Strategic development,3,37,9.0833,7.5333,1,0,1524053913,2015-11-17,1447718400.0
270,16 November 2015,2015,1,Riots/Protests,6,60,5.5263,7.4896,1,0,1524053913,2015-11-16,1447632000.0
271,16 November 2015,2015,1,Riots/Protests,5,50,6.5942,3.3375,1,0,1518765568,2015-11-16,1447632000.0
272,15 November 2015,2015,1,Violence against civilians,3,37,5.0286,6.2828,1,1,1524053913,2015-11-15,1447545600.0
274,15 November 2015,2015,1,Riots/Protests,6,16,5.5137,7.4475,1,0,1524053913,2015-11-15,1447545600.0
276,14 November 2015,2015,2,Battle-Government regains territory,1,12,10.4414,12.1193,2,0,1524053913,2015-11-14,1447459200.0
278,14 November 2015,2015,2,Battle-Government regains territory,1,12,12.6786,13.6079,2,18,1524053913,2015-11-14,1447459200.0
280,14 November 2015,2015,2,Battle-No change of territory,1,12,11.8464,13.1603,3,0,1524053913,2015-11-14,1447459200.0
282,14 November 2015,2015,2,Battle-Government regains territory,1,12,11.8464,13.1603,3,19,1524053913,2015-11-14,1447459200.0
284,14 November 2015,2015,1,Battle-No change of territory,4,34,11.9302,7.4127,2,4,1518765568,2015-11-14,1447459200.0
286,13 November 2015,2015,2,Riots/Protests,6,60,5.4833,7.0304,1,0,1524053913,2015-11-13,1447372800.0
287,12 November 2015,2015,1,Riots/Protests,6,60,6.5942,3.3375,1,0,1524053913,2015-11-12,1447286400.0
288,11 November 2015,2015,2,Battle-Government regains territory,1,12,11.2,13.0833,1,1,1524053913,2015-11-11,1447200000.0
290,11 November 2015,2015,1,Riots/Protests,5,55,5.5167,5.75,1,0,1518765568,2015-11-11,1447200000.0
292,11 November 2015,2015,1,Riots/Protests,5,15,4.7774,7.0134,1,1,1524053913,2015-11-11,1447200000.0
294,11 November 2015,2015,2,Battle-Government regains territory,1,12,11.25,13.0667,1,1,1524053913,2015-11-11,1447200000.0
296,11 November 2015,2015,2,Battle-Government regains territory,1,12,11.1036,13.713,2,1,1524053913,2015-11-11,1447200000.0
298,11 November 2015,2015,2,Battle-Government regains territory,1,12,11.155999999999999,12.7576,2,1,1524053913,2015-11-11,1447200000.0
300,10 November 2015,2015,1,Riots/Protests,6,60,5.5263,7.4896,3,0,1518765568,2015-11-10,1447113600.0
301,10 November 2015,2015,1,Riots/Protests,5,15,4.7774,7.0134,1,0,1524053913,2015-11-10,1447113600.0
303,10 November 2015,2015,1,Riots/Protests,6,60,8.8833,11.3667,1,0,1518765568,2015-11-10,1447113600.0
304,09 November 2015,2015,1,Riots/Protests,6,60,7.3878,3.8964,1,0,1523534006,2015-11-09,1447027200.0
305,09 November 2015,2015,2,Violence against civilians,3,37,5.4527,5.8696,2,1,1524053913,2015-11-09,1447027200.0
307,09 November 2015,2015,1,Violence against civilians,4,47,7.6897,7.0438,2,11,1518765568,2015-11-09,1447027200.0
309,09 November 2015,2015,1,Riots/Protests,6,60,4.9419,7.2597,1,0,1524053913,2015-11-09,1447027200.0
310,09 November 2015,2015,1,Violence against civilians,4,47,7.7235,7.3838,1,11,1518765568,2015-11-09,1447027200.0
312,08 November 2015,2015,1,Riots/Protests,6,16,6.4426,7.5022,1,0,1524053913,2015-11-08,1446940800.0
314,08 November 2015,2015,1,Riots/Protests,6,60,5.1066,7.3667,1,0,1524053913,2015-11-08,1446940800.0
315,08 November 2015,2015,1,Riots/Protests,5,50,6.335,5.6275,1,0,1524053913,2015-11-08,1446940800.0
316,08 November 2015,2015,1,Battle-No change of territory,3,33,7.85,9.7833,1,6,1524053913,2015-11-08,1446940800.0
318,07 November 2015,2015,1,Battle-No change of territory,3,33,7.85,9.7833,1,6,1524053913,2015-11-07,1446854400.0
320,07 November 2015,2015,1,Riots/Protests,6,60,6.1516,6.8446,1,0,1518765568,2015-11-07,1446854400.0
321,07 November 2015,2015,1,Riots/Protests,6,60,6.1518,6.8655,1,0,1518765568,2015-11-07,1446854400.0
322,07 November 2015,2015,1,Battle-Government regains territory,1,12,11.5221,13.6856,2,10,1524053913,2015-11-07,1446854400.0
324,07 November 2015,2015,1,Riots/Protests,6,60,6.2101,7.0741,1,0,1518765568,2015-11-07,1446854400.0
325,07 November 2015,2015,1,Riots/Protests,6,60,6.1842,6.9766,1,0,1518765568,2015-11-07,1446854400.0
326,07 November 2015,2015,1,Riots/Protests,6,60,5.1066,7.3667,1,0,1518765568,2015-11-07,1446854400.0
327,06 November 2015,2015,1,Riots/Protests,6,16,5.4833,7.0304,3,0,1524053913,2015-11-06,1446768000.0
329,06 November 2015,2015,1,Riots/Protests,6,16,4.9247,6.2642,1,0,1524053913,2015-11-06,1446768000.0
331,06 November 2015,2015,1,Riots/Protests,6,60,4.7774,7.0134,1,0,1524053913,2015-11-06,1446768000.0
332,06 November 2015,2015,1,Riots/Protests,5,50,6.1454,6.7885,1,1,1524053913,2015-11-06,1446768000.0
333,06 November 2015,2015,1,Riots/Protests,5,15,6.2006,6.7339,1,0,1524053913,2015-11-06,1446768000.0
335,06 November 2015,2015,1,Riots/Protests,6,60,7.621,5.2215,2,0,1524053913,2015-11-06,1446768000.0
336,05 November 2015,2015,1,Riots/Protests,6,60,6.5942,3.3375,1,0,1524053913,2015-11-05,1446681600.0
337,04 November 2015,2015,1,Battle-Government regains territory,1,12,12.6786,13.6079,2,2,1524053913,2015-11-04,1446595200.0
339,03 November 2015,2015,1,Riots/Protests,6,60,5.5167,5.75,1,0,1524053913,2015-11-03,1446508800.0
340,03 November 2015,2015,1,Violence against civilians,6,36,4.9247,6.2642,1,0,1518765568,2015-11-03,1446508800.0
342,03 November 2015,2015,2,Violence against civilians,3,37,4.9167,6.2833,1,0,1518765568,2015-11-03,1446508800.0
344,03 November 2015,2015,1,Riots/Protests,5,50,11.7853,7.6218,2,0,1518765568,2015-11-03,1446508800.0
345,03 November 2015,2015,1,Riots/Protests,6,60,10.3192,7.6892,1,0,1518765568,2015-11-03,1446508800.0
346,03 November 2015,2015,1,Riots/Protests,6,60,7.7411,8.5121,1,0,1518765568,2015-11-03,1446508800.0
347,02 November 2015,2015,1,Riots/Protests,5,15,5.5167,5.75,1,0,1524053913,2015-11-02,1446422400.0
349,02 November 2015,2015,1,Battle-No change of territory,1,14,6.6155,3.5087,1,0,1524053913,2015-11-02,1446422400.0
351,02 November 2015,2015,1,Riots/Protests,5,50,7.7667,4.9,1,0,1524053913,2015-11-02,1446422400.0
352,02 November 2015,2015,1,Violence against civilians,3,37,10.3134,9.8433,1,1,1518765568,2015-11-02,1446422400.0
354,01 November 2015,2015,1,Riots/Protests,6,60,4.7774,7.0134,1,0,1518765568,2015-11-01,1446336000.0
355,01 November 2015,2015,1,Battle-No change of territory,1,12,13.6115,13.3404,1,4,1524053913,2015-11-01,1446336000.0
